time,open,close,price,volume,dayHigh,dayLow,SMA_5,SMA_10,RSI,MACD,Signal_Line,MACD_Histogram
2024-10-28,68720.0,70051.0,69289.3775,293897134429.58813,70288.0,67532.48,69101.05200000001,69016.26498082011,80.58293461795289,282.4843727886473,156.474842669841,126.00953011880632
2024-10-29,69752.42,72607.98,71537.30041666667,1092846696588.3173,73624.98,67532.48,71326.418,70980.8735,74.47908072071851,713.8690704155888,715.2682772166099,-1.399206801021137
2024-10-30,72508.29,72515.0,72240.83041666666,1336777812093.6116,73624.98,69705.76,72238.347,72298.577625,48.79127525069283,137.37743916892214,137.74996721091472,-0.3725280419925809
2024-10-31,72364.69,70327.64,71540.48541666666,1027684247173.4851,73060.0,69559.33,71730.91258333334,71912.2375,39.34013292431698,-538.6614348384755,-394.3677727323402,-144.29366210613534
2024-11-01,70279.98,69493.18,69668.32583333334,1174491754174.012,72684.02,68720.0,69737.41258333334,69838.18958333334,41.37621401331106,-312.4138660200697,-316.3625372760728,3.948671256003138
2024-11-02,69662.0,69275.84,69523.74416666666,927294508520.1909,71653.0,68720.0,69522.13416666667,69519.82604166666,46.65229674072714,-104.41080534801586,-116.77086175055292,12.360056402537069
2024-11-03,69274.09,68722.39,68523.8225,616680121530.1821,70000.0,67100.1,68562.6245,68654.55941666667,38.75329373881409,-71.58888065439533,-196.23665253777472,124.6477718833794
2024-11-04,68570.18,67854.34,68470.01,776623387929.6218,69505.0,66783.77,68575.89866666666,68656.05925,48.59413061881273,-305.61302692715253,-211.12047702404507,-94.49254990310746
2024-11-05,67823.03,69565.14,68968.66625,1026018161791.9528,70599.0,66783.77,68825.81833333334,68609.03795833334,64.82402085078601,317.8933999707515,320.43163233248896,-2.538232361737471
2024-11-06,69452.8,75650.96,74066.99625,2388854915001.252,76509.56,67427.53,73525.92416666666,72957.13083333334,69.58970145596523,1250.142844225993,1240.181905243844,9.960938982149171
2024-11-07,75429.32,75851.39,75421.69125,2177716649587.8784,76999.0,69371.32,75404.08891666666,75308.00795833334,56.57550696963978,505.9730616556044,518.6775965993053,-12.704534943700878
2024-11-08,76109.79,76471.14,76204.04833333332,1539208192225.3284,77312.18,74397.0,76157.22658333334,76115.91795833333,55.62884018369166,280.83605183321924,270.5357533683561,10.300298464863149
2024-11-09,76605.51,76740.36,76446.79041666667,1164212967094.0955,77312.18,75608.0,76457.32716666667,76486.55204166667,47.88854991513329,36.77484845808067,34.38220148476189,2.392646973318776
2024-11-10,76645.71,80303.87,79090.06791666667,1135664176822.599,81534.28,75648.0,78805.26833333333,78421.02649999999,76.6193795649343,717.0210268250812,769.8882910392721,-52.86726421419087
2024-11-11,80519.61,88787.91,83174.1975,2137493465958.9546,89000.0,76580.66,82501.19841666667,81878.66829166668,73.32405654040453,2009.25227755832,1505.2797868006137,503.9724907577065
2024-11-12,88287.15,88480.12,88076.19666666667,3607057569157.453,90243.0,80386.3,88032.73583333334,87791.8345,59.879021410703196,759.4538567522541,849.9914127423035,-90.53755599004944
2024-11-13,88128.8,89495.23,88955.9975,3037889852912.591,93495.0,85010.0,88881.46208333333,88581.009125,57.23086192541977,719.4700556276657,829.1317567164632,-109.66170108879749
2024-11-14,90312.96,87320.0,89767.9225,2941599325976.582,93495.0,86000.0,89926.10416666667,90189.94304166666,48.21953700440887,-519.067891924482,-132.0447817472468,-387.02311017723514
2024-11-15,87989.16,91450.24,89130.59875,2160653969859.2395,91934.62,86621.9,88814.90916666666,88669.027,54.071374467957035,569.0839448062325,264.7411118423003,304.34283296393215
2024-11-16,91250.75,90686.82,91126.16125,1785565094988.9937,91934.62,87100.0,91163.41808333334,91067.21416666667,55.92821729621706,140.90633383978275,235.59668542349385,-94.69035158371108
2024-11-17,90676.35,89562.75,90389.81083333334,1157125908787.3638,91820.73,88709.0,90504.70075,90610.51299999999,44.836985063890175,-299.09160239915946,-161.2044381122501,-137.88716428690935
2024-11-18,89890.67,90909.18,90926.28583333333,1290650394267.2913,92690.1,88709.0,90785.57066666667,90666.12170833333,54.00243287495572,144.48756335955113,141.92745875360325,2.5601046059478847
2024-11-19,90646.0,91906.08,92027.71333333333,1868790675897.4834,94105.84,89372.65,91934.88541666667,91743.636375,58.487986665556065,364.55157293812954,420.31794277400513,-55.766369835875594
2024-11-20,92529.27,94197.86,93358.11875000001,1946792792888.362,94989.99,90374.1,93192.40000000001,93067.60566666666,61.11476617899127,517.5301252344798,520.810531245688,-3.2804060112082425
2024-11-21,94369.41,98832.91,97113.90666666668,2170061163760.6538,99121.0,91026.0,96766.14616666666,96367.03749999999,69.24388842554313,929.5730512742448,939.8802373662076,-10.307186091962762
2024-11-22,98500.01,98856.57,98832.43708333332,2467207481772.6562,99860.0,93986.0,98775.03216666666,98646.30408333334,57.274023175160075,394.4819842879806,446.3325389729037,-51.850554684923054
2024-11-23,98810.07,97811.75,98418.04875,1792930649383.191,99860.0,97010.0,98530.53908333334,98669.23316666666,42.154833445628746,-226.0646889568452,-128.4450455456499,-97.61964341119533
2024-11-24,97902.47,98274.66,97546.67083333334,1100251861555.284,99005.305,95611.0,97571.45583333333,97717.89025,37.04144003241187,-302.38530873236596,-404.7779540991273,102.39264536676136
2024-11-25,97932.41,94211.7,96917.63124999999,1382050850696.4866,98999.0,92534.93,97177.14783333334,97323.228,48.10802247420617,-882.2943910704053,-560.0255036095984,-322.2688874608068
2024-11-26,93216.8,91807.63,93168.90250000001,2371833877183.4336,98999.0,90682.58,93389.32875,93659.14495833333,35.14397880240272,-878.5854900610866,-863.5751738645249,-15.01031619656169
2024-11-27,92221.3,96921.72,93873.68000000001,1927686469651.248,96962.0,90682.58,93428.296,93097.47785714286,62.71830120943851,797.6262196436146,382.46413241474414,415.16208722887046
